as_of_datetime,borrower_id,gender,country,geo_classification,date_of_birth
2024-09-01 00:00:00,S0VfVVBfNjA1MDAz,Female,Kenya,Rural,1976-01-01
2024-03-01 00:00:00,S0VfVVBfNjAzMTcw,Female,Kenya,Urban,1995-12-06
2024-07-01 00:00:00,VUdfVVBfMjk0MDI=,Female,Uganda,Urban,1990-01-01
2024-05-01 00:00:00,S0VfVVBfNTM5OTIz,Female,Kenya,Rural,1995-01-01
2024-03-01 00:00:00,S0VfVVBfMzg1MDMz,Female,Kenya,Rural,1970-01-01
2024-03-01 00:00:00,S0VfVVBfMTAyODI3,Female,Kenya,Rural,1962-03-13
2024-10-01 00:00:00,S0VfVVBfNTAyMDg0,Male,Kenya,,1970-01-01
2024-09-01 00:00:00,S0VfVVBfNjQyODI2,Female,Kenya,,1970-01-01
2024-01-01 00:00:00,S0VfVVBfMjE0NjQ2,Female,Kenya,Rural,1970-01-01
2024-06-01 00:00:00,S0VfVVBfMjk1NzMw,Female,Kenya,Rural,1991-11-03
2024-01-01 00:00:00,S0VfVVBfNTU5OTM5,Female,Kenya,Urban,1998-09-15
2024-04-01 00:00:00,OGExOTQ2OTA4ODlhMTQxYTAxODg5ZmEzZDhhODI5Y2I=,Male,Kenya,,1975-01-18
2024-09-01 00:00:00,S0VfVVBfMTE4Mjk3,Female,Kenya,Urban,1994-07-31
2024-10-01 00:00:00,S0VfVVBfMTMzMzgx,Male,Kenya,,1966-01-01
2024-02-01 00:00:00,S0VfVVBfNTMzNzkz,Male,Kenya,Rural,1979-01-01
2024-08-01 00:00:00,S0VfVVBfODg3MTc=,Female,Kenya,Rural,1977-12-11
2024-03-01 00:00:00,S0VfVVBfNDYxMjkz,Male,Kenya,Rural,1970-01-01
2024-01-01 00:00:00,S0VfVVBfNTg4OTYy,Female,Kenya,Rural,1970-01-01
2024-01-01 00:00:00,S0VfVVBfNDI4MDMw,Male,Kenya,Rural,1970-01-01
2024-02-01 00:00:00,S0VfVVBfNTk1MjMy,Female,Kenya,Urban,1987-03-21
