as_of_datetime,loan_id,borrower_id,issue_date,maturity_date,closing_date,currency,principal_amount,interest_rate,write_off_date,write_off_amount,default_date,default_amount,product_name,penalties,fees,total_outstanding
2024-06-01 00:00:00,S0VfVVBfMTAxNzQwNjc2,S0VfVVBfNTkxNjE4,2023-05-10,2023-06-09,2023-09-30,KES,5000.0,0.27,2023-09-30,3114.0,,,CashEase,424.0,500.0,3114.0
2024-04-01 00:00:00,S0VfVVBfMTAxMDY2NTA3,S0VfVVBfMjY1NDY1,2022-07-05,2022-08-04,2022-10-31,KES,50000.0,0.27,2022-10-31,67125.0,,,CashEase,9525.0,0.0,67125.0
2024-08-01 00:00:00,S0VfVVBfMTAxNTYwODE4,S0VfVVBfNTI0ODU3,2023-03-11,2023-04-10,2023-07-31,KES,7200.0,0.27,2023-07-31,5949.0,,,CashEase,905.0,0.0,5749.0
2024-02-01 00:00:00,S0VfVVBfMTAwMjI4OTgw,S0VfVVBfMjUyOTA0,2020-11-02,2020-12-02,2021-01-31,KES,25000.0,0.27,2021-01-31,23050.0,,,CashEase,0.0,0.0,21050.0
2024-10-01 00:00:00,S0VfVVBfMTAwNzA2MTg5,S0VfVVBfMzY1NDEz,2021-12-06,2022-01-05,2022-03-31,KES,25000.0,0.27,2022-03-31,30550.0,,,CashEase,0.0,0.0,30550.0
2024-09-01 00:00:00,S0VfVVBfMTAwNTYzMzM0,S0VfVVBfMjg5OTY5,2021-08-24,2021-09-23,2021-11-30,KES,50000.0,0.27,2021-11-30,52200.0,,,CashEase,0.0,0.0,18000.0
2024-08-01 00:00:00,S0VfVVBfMTAxNzE0MzUx,S0VfVVBfNTg4NDM2,2023-05-02,2023-06-01,2023-08-31,KES,20000.0,0.27,2023-08-31,14927.0,,,CashEase,2527.0,0.0,14927.0
2024-08-01 00:00:00,S0VfVVBfMjk5NzE4,S0VfVVBfMTA3OTg1,2018-04-26,2018-05-28,2018-06-30,KES,15000.0,0.3,2018-06-30,22200.0,,,CashEase,4200.0,500.0,21800.0
2024-06-01 00:00:00,S0VfVVBfMTAwNzk1ODIw,S0VfVVBfNDMzMTg0,2022-02-03,2022-03-07,2022-05-31,KES,20000.0,0.27,2022-05-31,29210.0,,,CashEase,3810.0,0.0,29210.0
2024-09-01 00:00:00,S0VfVVBfMTAxMDQ5MTI0,S0VfVVBfMTk2ZGUxNTUtZmE1MS00ZTgxLTkxMjAtNzY1OTk1MDc0MTk1,2022-06-27,2022-07-27,2022-09-30,KES,21000.0,0.27,2022-09-30,23721.0,,,CashEase,3094.0,0.0,23471.0
2024-10-01 00:00:00,S0VfVVBfMTAxNzk2Njcz,S0VfVVBfNDcxMTEw,2023-05-26,2023-06-25,2023-09-30,KES,6600.0,0.2624242424242424,2023-09-30,3317.0,,,CashEase,485.0,0.0,3317.0
2024-04-01 00:00:00,S0VfVVBfMTAwNzYwNDAz,S0VfVVBfMzU2MjQ4,2022-01-11,2022-02-10,2022-04-30,KES,25000.0,0.27,2022-04-30,20100.0,,,CashEase,0.0,0.0,19495.0
2024-04-01 00:00:00,S0VfVVBfMTAwMTY5MzU3,S0VfVVBfMTY3OTA5,2020-09-03,2020-10-05,2020-11-30,KES,10000.0,0.27,2020-11-30,1400.0,,,CashEase,0.0,0.0,1400.0
2024-09-01 00:00:00,S0VfVVBfMTAxNTk3MDcx,S0VfVVBfNTczOTE2,2023-03-24,2023-04-23,2023-07-31,KES,10000.0,0.27,2023-07-31,14521.0,,,CashEase,2021.0,500.0,14521.0
2024-01-01 00:00:00,S0VfVVBfMTAwNDYyNTIz,S0VfVVBfMzA0ODgx,2021-06-06,2021-07-06,2021-09-30,KES,20000.0,0.27,2021-09-30,25400.0,,,CashEase,0.0,0.0,25400.0
2024-01-01 00:00:00,S0VfVVBfMTAwMjQyMjUy,S0VfVVBfMjc4MTg5,2020-11-14,2020-12-14,2021-01-31,KES,10000.0,0.27,2021-01-31,12700.0,,,CashEase,0.0,0.0,12700.0
2024-10-01 00:00:00,S0VfVVBfMTAxNDkxMzk1,S0VfVVBfNTU5ODcw,2023-02-15,2023-03-17,2023-06-30,KES,10000.0,0.27,2023-06-30,9992.0,,,CashEase,1372.0,500.0,9992.0
2024-07-01 00:00:00,S0VfVVBfMTAxMDk1ODk5,S0VfVVBfNTA2MjU2,2022-07-20,2022-08-19,2022-10-31,KES,5000.0,0.27,2022-10-31,7877.0,,,CashEase,1027.0,500.0,7877.0
2024-03-01 00:00:00,S0VfVVBfNjI4MTU=,S0VfVVBfNzQ1Ng==,2014-06-26,2014-07-26,2014-08-31,KES,20000.0,0.3,2014-08-31,31600.0,,,CashEase,5600.0,0.0,31600.0
2024-06-01 00:00:00,S0VfVVBfMTAxODI1NjMw,S0VfVVBfNTI0OTg1,2023-06-06,2023-07-06,2023-10-31,KES,8700.0,0.247471264367816,2023-10-31,12559.0,,,CashEase,1706.0,0.0,12559.0
