payment_id,payment_date,loan_id,currency,amount,type
U0Y2OUxEME9TMw==,2024-06-06,S0VfVVBfMTAzMDUwODEz,KES,8654.0,COLLECTIONS
U0lINVdJMU1HVg==,2024-09-17,S0VfVVBfMTAzNDg3MjQ3,KES,13119.0,COLLECTIONS
U0kyOThIUVgyRA==,2024-09-02,S0VfVVBfMTAzNDUwMDc0,KES,400.0,COLLECTIONS
U0lHNVUyMjI5UA==,2024-09-16,S0VfVVBfQkROTjgwMw==,KES,4000.0,COLLECTIONS
U0FFMjFUWDlaVQ==,2024-01-14,S0VfVVBfMTAyNTY4ODM5,KES,220.0,COLLECTIONS
U0JJNUZCNDhRQg==,2024-02-18,S0VfVVBfMTAyNDk3NTYy,KES,250.0,COLLECTIONS
U0lMNkVXVFhBSQ==,2024-09-21,S0VfVVBfWFdQVDM4NA==,KES,200.0,COLLECTIONS
U0RUMk9STDVZUQ==,2024-04-29,S0VfVVBfMTAyOTA3MjQ4,KES,1500.0,COLLECTIONS
U0VFN0ExNVZKTA==,2024-05-14,S0VfVVBfMTAzMDA2MTAz,KES,300.0,COLLECTIONS
U0lTMDZYWkNZVQ==,2024-09-28,S0VfVVBfQlpFUzU2NQ==,KES,650.0,COLLECTIONS
U0JOMVhZOVJFOQ==,2024-02-23,S0VfVVBfMTAyNzMwODYy,KES,300.0,COLLECTIONS
U0VCNVczVlVIUg==,2024-05-11,S0VfVVBfMTAyOTMxNTYz,KES,8191.0,COLLECTIONS
UkxSOERIWklaSw==,2023-12-27,S0VfVVBfMTAyNDI5NDMz,KES,500.0,COLLECTIONS
U0NOOVZWNklSVg==,2024-03-23,S0VfVVBfV0xZSTEwMg==,KES,46649.0,COLLECTIONS
U0RIOElIMjU4Uw==,2024-04-17,S0VfVVBfMTAyODk5MDIx,KES,300.0,COLLECTIONS
U0lHMVFPQ0kzWA==,2024-09-16,S0VfVVBfQlFYTzIyMA==,KES,9446.0,COLLECTIONS
U0lJMTNDNVIySA==,2024-09-18,S0VfVVBfMTAzNTY3NTg2,KES,350.0,COLLECTIONS
U0k2M09YRTNMRA==,2024-09-06,S0VfVVBfMTAzNDQzODkw,KES,313.0,COLLECTIONS
UkxOOVk2TUpXMQ==,2023-12-23,S0VfVVBfWlJOTDkzNA==,KES,500.0,COLLECTIONS
U0JKNUpTRlJEMw==,2024-02-19,S0VfVVBfMTAyNjM4Mjky,KES,1000.0,COLLECTIONS
